query,_id,total_purchases,add_to_cart_count,total_click_count,one_day_revenue,three_day_revenue,five_day_revenue
black real slip convertible,91408512_0,21,48,69,42.66,447.93,447.93
black reflective vest inset,91371714_0,61,122,139,1296.36,2027.64,2027.64
black remy trousers white,88404438_0,9,84,123,159.0,159.0,238.5
black remy white trousers,88404438_0,23,34,84,212.0,609.5,609.5
black reversible dress,91385536_0,80,161,176,878.63,878.63,1714.4
black revolve dress x,89134213_0,33,78,145,335.04,691.02,691.02
black revolve x dress,89134213_0,11,42,131,41.88,41.88,230.34
black revolve x dress,90474947_0,10,20,91,249.5,249.5,249.5
black ria detail bodycon,91274059_1,54,65,85,822.16,822.16,1032.48
black ria dress bodycon,91274059_1,9,21,155,76.48,172.08,172.08
black rib dress tank,89735395_0,51,146,162,704.72,781.32,781.32
black rib skater dress,91383827_0,51,94,118,768.57,1187.79,1187.79
black rib-knit dress,90651630_0,34,96,109,692.24,692.24,692.24
black rib-knit fitted dress,91295856_0,57,94,123,449.28,636.48,1067.04
black rib-knit maxi dress,91295856_0,17,88,149,187.2,187.2,318.24
black ribbed away high,89628834_0,53,148,160,766.36,882.98,882.98
black ribbed merino dress,91257332_0,8,59,170,75.3,120.48,120.48
black riley pant pull-on,89959992_0,54,116,169,1308.96,1308.96,1308.96
black roll dress maxi,91183451_0,26,24,128,347.2,347.2,564.2
black roll neck women's,91229552_0,14,25,124,335.02,335.02,335.02
black romy dress,87943817_0,21,41,89,111.79,111.79,335.37
black romy dress,89583158_0,34,77,298,350.4,350.4,595.68
black row front pants,89681127_0,77,86,117,509.22,1093.88,1452.22
black ruched boatneck dress,91413007_0,10,25,144,120.06,120.06,200.1
black ruched cocktail dress,47754127_0,178,173,252,2056.95,2056.95,3487.02
black ruched dress,90998104_0,37,189,285,511.77,511.77,901.69
black ruched dress sheath,91256031_0,58,91,158,247.5,1012.5,1305.0
black ruched pants plus,89595005_0,12,28,70,62.46,124.92,249.84
black ruched sequined dress,72681190_0,31,27,108,304.38,304.38,496.62
black ruched size plus,91411307_0,91,143,177,1625.26,1625.26,1625.26
black ruched turtleneck dress,91009232_0,17,32,76,343.57,343.57,343.57
black ruffle cascading one,89743186_0,16,108,156,399.84,399.84,399.84
black ruffle detail dress,91308275_0,34,26,164,386.8,386.8,657.56
black ruffle dress feather,90607122_0,44,65,66,573.5,777.0,814.0
black ruffle dress hem,90568939_0,7,31,95,105.78,105.78,123.41
black ruffle dress one,89743186_0,12,28,133,299.88,299.88,299.88
black ruffle dress sheath,90976061_0,16,94,95,345.28,345.28,345.28
black ruffle dress shoulder,89743186_0,10,30,84,249.9,249.9,249.9
black ruffle halter dress,90787685_0,5,33,176,47.24,118.1,118.1
black ruffle off-the-shoulder dress,90976061_0,26,28,189,323.7,323.7,561.08
black ruffled dress,91265225_0,73,155,321,656.95,1370.21,1370.21
black ruffled dress chiffon,90984966_0,39,72,167,691.08,691.08,691.08
black ruffled sleeveless dress,88470217_0,44,72,160,790.89,848.76,848.76
black runway dress,90847127_0,47,80,113,392.48,1152.91,1152.91
black sadie dress,91260701_0,58,67,134,1407.08,1407.08,1407.08
black sage dress seamed,91332116_0,40,139,169,262.92,876.4,876.4
black sage seamed lace,91332116_0,32,53,158,460.11,460.11,701.12
black sally bardot maxi,91353817_0,19,20,68,222.2,222.2,422.18
black sarouel cropped trousers,88278255_1,14,24,136,137.83,137.83,275.66
black sarouel womenâs trousers,90171060_0,7,42,69,99.18,99.18,115.71
black sash shirtdress print,90926135_0,34,51,178,467.1,588.2,588.2
black satin dress,70694487_0,12,64,152,198.18,264.24,264.24
black satin dress,90914444_0,87,180,237,974.64,974.64,1367.64
black satin dress,90992766_1,141,129,146,1588.57,1588.57,3343.11
black satin dress,91409592_0,41,69,146,627.75,627.75,953.25
black satin dress bustier,91211033_0,92,111,148,2249.4,2249.4,2249.4
black satin dress midi,90708926_0,3,39,86,16.69,16.69,50.07
black satin dress sequined,89592206_0,8,107,134,19.66,157.28,157.28
black satin layered gown,90836671_1,64,112,159,1133.44,1133.44,1133.44
black satin maxi dress,89814560_1,36,44,71,46.0,828.0,828.0
black satin mini dress,91248085_0,62,157,179,95.0,1178.0,1178.0
black satin shirt dress,91337904_0,26,76,105,352.75,539.5,539.5
black scallop bodycon mini,85287942_0,95,104,177,753.92,753.92,1884.8
black scalloped a-line neckline,89284243_0,49,97,97,716.48,761.26,1097.11
black scalloped dress high-neck,91207439_0,28,68,91,37.74,528.36,528.36
black scoop gown sequin,90928623_0,18,48,76,231.2,231.2,416.16
black scuba sheath popover,89680607_0,63,45,144,760.0,760.0,1496.25
black seamed ponte sheath,91326895_0,5,55,60,57.75,96.25,96.25
black seamed sheath dress,90920132_0,72,112,151,69.93,1538.46,1678.32
black sequin dress lace,74212876_0,45,39,68,845.95,845.95,1087.65
black sequin dress midi,90636608_0,4,97,134,55.47,55.47,73.96
black sequin front split,89665230_0,63,147,152,0.0,486.27,1134.63
black sequin lace dress,91371966_0,25,46,79,0.0,601.5,601.5
black sequin striped trousers,88773742_1,23,45,104,115.92,115.92,666.54
black sequined contrast chiffon,90889135_0,32,81,123,0.0,290.72,581.44
black sequined dress stretch-jersey,91319859_0,24,39,158,332.43,332.43,379.92
black sequined off-the-shoulder sheath,91195674_0,30,55,103,251.2,376.8,471.0
black shearling suede vest,91419220_1,21,51,84,50.4,529.2,529.2
black sheath beaded v-neck,88802283_0,118,136,151,336.0,336.0,1982.4
black sheath button dress,91109464_0,60,52,65,1113.75,1113.75,1485.0
black sheath collared dress,89804244_0,141,179,179,2562.08,2695.92,2695.92
black sheath dot jacquard,89457412_0,10,105,138,17.58,175.8,175.8
black sheath dress,70951482_0,80,100,184,657.9,902.7,1224.0
black sheath dress,72023200_0,28,196,215,540.0,540.0,604.8
black sheath dress,83883006_0,65,168,356,728.91,1214.85,1214.85
black sheath dress,89783568_0,90,183,183,2215.8,2215.8,2215.8
black sheath dress,90881032_0,32,70,250,410.8,458.2,505.6
black sheath dress,90924995_0,33,108,176,82.4,679.8,679.8
black sheath dress,90957562_0,13,48,61,267.85,316.55,316.55
black sheath dress,90957791_0,16,58,81,17.39,69.56,278.24
black sheath dress,90998654_0,11,23,50,22.97,68.91,252.67
black sheath dress,91245179_0,10,29,55,189.36,236.7,236.7
black sheath dress,91277990_0,42,76,141,319.41,343.98,1031.94
black sheath dress,91278576_0,18,28,103,379.26,379.26,379.26
black sheath dress,91282107_0,80,168,332,1239.68,1549.6,1549.6
black sheath dress,91310450_0,11,86,198,94.95,94.95,208.89
black sheath dress,91313145_0,178,235,286,2187.84,2187.84,3673.92
black sheath dress,91319719_0,117,151,159,2210.39,2210.39,2841.93
black sheath dress,91354962_0,83,127,147,30.86,771.5,1280.69
black sheath dress,91436420_0,14,29,81,46.72,327.04,327.04
black sheath dress colorblocked,89454971_0,72,80,128,1164.49,1317.21,1374.48
black sheath dress crepe,91314286_0,167,179,184,273.57,273.57,4153.29
black sheath dress crochet,89297911_0,63,139,139,225.84,1072.74,1185.66
black sheath dress cutout,91077679_0,95,100,117,947.52,947.52,1875.3
black sheath dress floral,91017674_0,36,134,184,567.0,567.0,816.48
black sheath dress lace,90905977_0,57,75,137,957.18,957.18,1029.42
black sheath dress leather,68001712_0,18,32,65,176.99,289.62,289.62
black sheath dress off-the-shoulder,91115491_0,45,77,99,532.44,887.4,887.4
black sheath dress printed,91421880_0,93,104,146,902.16,1498.23,1498.23
black sheath dress scuba,90914164_0,21,21,50,176.77,176.77,337.47
black sheath dress seamed,91328449_0,31,67,103,287.95,686.65,686.65
black sheath dress side,89813705_0,22,110,144,360.54,360.54,440.66
black sheath dress stretch,90926096_0,97,77,187,635.12,635.12,1811.96
black sheath dress stretch,91283386_0,47,162,197,463.0,463.0,870.44
black sheath dress studded,91324498_0,74,254,350,263.48,1392.68,1392.68
black sheath embellished dress,91427708_0,18,22,53,185.52,417.42,417.42
black sheath embellished printed,91427708_0,47,83,248,301.47,1089.93,1089.93
black sheath embroidered dress,89873460_0,52,114,184,783.6,1018.68,1018.68
black sheath floral dress,91350036_0,14,45,104,331.24,331.24,331.24
black sheath gold button,90977925_0,11,39,136,90.08,90.08,247.72
black sheath gold dress,90977925_0,4,24,141,90.08,90.08,90.08
black sheath illusion dress,91161289_0,19,71,135,46.9,211.05,445.55
black sheath isabella dress,91171930_0,11,57,77,180.27,180.27,220.33
black sheath jacquard dress,89457412_0,74,107,129,808.68,1300.92,1300.92
black sheath lace dress,90966131_0,23,33,73,106.15,488.29,488.29
black sheath lace sleeveless,90861494_0,16,20,54,34.12,170.6,272.96
black sheath mixed dress,90897868_0,8,23,78,89.9,143.84,143.84
black sheath necklace dress,90966131_0,51,62,120,721.82,721.82,1082.73
black sheath printed petite,91366681_0,6,154,186,33.98,33.98,101.94
black sheath ruched dress,88258192_0,11,21,144,195.84,244.8,269.28
black sheath sleeveless celine,88187951_0,22,57,67,348.67,348.67,451.22
black sheath summer,90714556_0,18,28,55,369.41,391.14,391.14
black sheath surplice dress,91282950_0,58,87,187,329.46,852.72,1124.04
black sheath textured dress,91290356_0,12,44,91,0.0,80.08,240.24
black sheath v-neck dress,91341130_0,44,91,246,819.0,819.0,1029.6
black sheath women's dress,91322097_0,61,105,207,478.24,956.48,1041.88
black sheava cropped wrap-front,88418054_0,75,119,184,863.36,2023.5,2023.5
black sheer cami dress,87860590_3,65,103,143,381.06,952.65,1376.05
black sheer cutout dress,34689679_0,16,28,186,186.75,186.75,332.0
black sheer dress,90870043_0,25,25,188,105.24,105.24,438.5
black sheer dress panel,90974929_0,40,151,200,525.36,955.2,955.2
black sheer gown lace,90501424_0,62,141,162,366.45,366.45,1081.9
black sheer panel dress,90974929_0,38,60,130,597.0,907.44,907.44
black sheer stripe way,91322806_1,35,76,183,264.04,660.1,660.1
black shell dress ribbed,89736795_0,65,99,211,1064.8,1064.8,1573.0
black shell ribbed dress,89736795_0,13,31,96,193.6,193.6,314.6
black shift colorblock crepe,91298993_0,47,106,120,169.7,797.59,797.59
black shift dress,74435916_0,9,40,146,115.62,173.43,173.43
black shift dress,91276372_0,76,167,198,1371.15,1894.68,1894.68
black shift dress,91310264_0,88,108,382,1617.36,1617.36,2062.72
black shift dress,91357628_0,44,214,324,747.45,996.6,996.6
black shift dress,91362861_0,120,268,298,729.71,1798.82,2036.4
black shift dress,91363474_0,50,67,127,401.7,401.7,772.5
black shift dress,91421144_0,10,21,152,20.11,80.44,201.1
black shift dress,91429025_0,13,25,67,60.88,197.86,197.86
black shift dress beaded,91255545_0,16,24,174,284.16,284.16,378.88
black shift dress bell-sleeve,91364019_0,46,124,161,744.48,992.64,1037.76
black shift dress blue,91302658_0,38,60,63,282.54,299.16,631.56
black shift dress colorblocked,71246933_0,25,32,52,19.32,425.04,483.0
black shift dress drape,91261000_0,19,40,52,370.56,440.04,440.04
black shift dress knit,91418055_0,42,59,108,535.5,535.5,899.64
black shift dress lace,91276519_0,25,44,178,266.5,512.5,512.5
black shift dress lace,91276699_0,18,85,99,222.56,308.16,308.16
black shift dress long,91259580_0,54,73,78,706.73,1315.98,1315.98
black shift dress print,68470148_0,14,48,151,64.23,299.74,299.74
black shift dress sequin,91357252_0,17,26,55,126.91,308.21,308.21
black shift dress silk,91310545_0,34,104,166,214.68,500.92,608.26
black shift dress sleeveless,70199135_0,19,48,67,211.2,211.2,334.4
black shift dress stretch,91363049_0,84,113,200,1454.16,1673.28,1673.28
black shift dress stripe,59904386_0,20,81,120,212.42,326.8,326.8
black shift dress striped,79401247_0,23,45,80,500.02,500.02,500.02
black shift dress striped,89494513_0,23,115,155,378.81,378.81,378.81
black shift dress textured-knit,89450237_0,19,60,190,401.4,401.4,423.7
black shift dress w/,67197494_0,18,44,50,207.24,207.24,339.12
black shift high neck,89619227_0,41,66,127,557.75,557.75,914.71
black shift lace dress,91276699_0,40,61,93,85.6,462.24,684.8
black shift lace stripe,91299273_0,23,57,197,368.69,368.69,368.69
black shift leah print,91418268_0,30,52,97,31.7,253.6,475.5
black shift long-sleeve dress,91263749_0,11,95,132,136.86,228.1,250.91
black shift mesh net,91340657_0,19,120,174,234.19,234.19,404.51
black shift printed dress,91357406_0,65,103,199,1492.47,1539.85,1539.85
black shift printed dress,91431903_0,25,72,82,257.72,257.72,379.0
black shift sequin dress,91357252_0,54,157,175,290.08,761.46,979.02
black shift silk dress,91278536_0,16,36,109,98.24,98.24,392.96
black shift sleeve flute,90522814_0,21,86,119,170.66,511.98,511.98
black shift sleeve ruffle,89245622_0,27,73,122,619.11,619.11,619.11
black shift stripe dress,59904386_0,21,29,150,228.76,228.76,343.14
black shift stripe dress,90371480_0,29,39,81,518.98,684.11,684.11
black shift stripe dress,91299273_0,22,47,78,128.24,320.6,352.66
black shift style dress,78617447_0,62,78,89,1116.18,1305.72,1305.72
black shift zip-front scuba,87784679_0,64,107,180,681.48,1211.52,1211.52
black shine dress soft,90662075_0,8,146,146,149.82,199.76,199.76
black shine dress tank,36004991_0,15,75,79,305.7,305.7,305.7
black shirred chiffon shirtdress,90425928_0,29,38,138,173.25,173.25,717.75
black shirred peasant dress,91225689_0,78,91,118,1355.16,1355.16,1531.92
black shirt dress,68401635_0,32,81,161,22.22,66.66,711.04
black shirt dress,87546533_0,26,21,78,369.0,369.0,533.0
black shirt dress,90172050_0,64,99,193,1214.72,1214.72,1495.04
black shirt dress me,91336739_0,24,94,200,229.32,393.12,393.12
black shirt embroidered dress,91254126_0,9,104,111,118.25,118.25,212.85
black shirt embroidered tulle,91254126_0,30,40,73,425.7,425.7,709.5
black shirt flare dress,91391623_0,19,31,88,243.74,243.74,330.79
black shirt green dress,91338423_0,4,87,128,20.62,82.48,82.48
black shirt oversized dress,91322585_0,30,144,190,429.97,678.9,678.9
black shirt pleated dress,88852635_0,19,34,147,38.78,38.78,368.41
black shirt point dress,88171092_0,14,36,53,38.0,266.0,266.0
black shirt shoulder cold,91379942_0,74,112,200,1269.1,1269.1,1269.1
black shirt washed dress,91419886_1,57,88,101,280.8,889.2,889.2
black shirtdress a-line,91067278_0,10,74,138,235.4,235.4,235.4
black shirtdress chiffon shirred,90425928_0,48,58,69,841.5,841.5,1188.0
black shirtdress crepe sleeveless,91076778_0,28,49,68,554.12,554.12,554.12
black shirtdress draped long,91145596_0,5,28,64,18.93,94.65,94.65
black shirtdress hi,91248889_0,17,23,60,186.32,186.32,395.93
black shirtdress petite,90489073_0,8,30,157,21.79,108.95,174.32
black shirtdress print tied,90926135_0,11,58,92,138.4,190.3,190.3
black shirtdress printed belted,90562919_0,28,66,115,671.72,671.72,671.72
black shirtdress silk major,89522931_0,17,53,124,46.46,394.91,394.91
black shirtdress silk-blend,91129332_0,38,47,93,700.72,700.72,700.72
black shirtdress sleeve,90052101_0,16,24,143,237.25,237.25,292.0
black short dress,56062788_0,26,53,87,462.25,480.74,480.74
black short dress,57094502_0,80,137,301,1441.6,1526.4,1696.0
black short dress,69323794_0,77,149,299,648.76,1228.01,1784.09
black short dress,74308574_0,50,87,298,878.4,1000.4,1220.0
black short dress,77904489_0,32,112,144,565.12,565.12,565.12
black short dress,85475245_0,130,179,189,1163.27,1163.27,2479.1
black short dress,88482621_0,69,93,109,1401.39,1401.39,1401.39
black short dress,88486572_0,8,38,86,131.28,131.28,131.28
black short dress,88853435_0,21,81,93,231.4,231.4,485.94
black short dress,88901325_0,28,97,137,59.01,314.72,550.76
black short dress,89102823_0,58,77,185,1448.84,1448.84,1448.84
black short dress,90856585_0,14,54,72,287.0,287.0,287.0
black short dress,90857838_0,49,108,162,669.8,965.3,965.3
black short dress,90858278_0,41,84,137,315.69,315.69,761.37
black short dress,90858647_0,16,85,118,67.4,84.25,269.6
black short dress,90893378_0,43,74,139,519.33,519.33,1063.39
black short dress,91037656_0,18,75,76,306.93,306.93,424.98
black short dress,91045055_0,70,259,325,1030.08,1502.2,1502.2
black short dress,91259083_0,138,155,282,2472.48,3345.12,3345.12
black short dress,91288472_0,11,40,79,154.0,242.0,242.0
black short dress,91294176_1,47,86,117,947.52,947.52,947.52
black short dress,91343654_0,66,167,208,815.49,994.5,1312.74
black short dress,91344124_0,61,105,211,988.51,1470.71,1470.71
black short dress,91346077_0,25,169,201,522.69,572.47,622.25
black short dress,91346715_0,16,38,132,148.68,264.32,264.32
black short dress,91346952_0,64,128,149,260.16,1040.64,1040.64
black short dress,91348974_0,30,116,119,342.24,342.24,641.7
black short dress,91348989_0,24,51,185,520.72,520.72,543.36
black short dress,91349060_0,74,82,159,933.96,933.96,1607.28
black short dress,91350075_0,34,61,119,559.44,792.54,792.54
black short dress,91350452_0,38,83,130,651.2,773.3,773.3
black short dress,91350790_0,91,174,358,810.39,1112.3,1445.99
black short dress,91353026_0,121,178,183,225.6,2729.76,2729.76
black short dress,91354064_0,11,39,154,140.8,176.0,193.6
black short dress,91354863_0,71,178,206,822.9,865.1,1498.1
black short dress,91357745_0,54,83,134,261.24,261.24,1175.58
black short dress,91384579_0,96,222,252,771.85,1723.2,1723.2
black short dress,91398580_0,8,21,88,70.08,140.16,140.16
black short dress,91398619_0,8,71,167,126.48,126.48,126.48
black short dress,91398684_0,32,101,151,288.73,710.72,710.72
black short dress,91398779_0,79,110,143,1547.28,1547.28,1697.71
black short dress,91399028_0,23,49,102,417.45,417.45,417.45
black short dress,91399103_0,152,222,278,1698.34,1923.63,2634.16
black short dress,91399759_0,9,31,74,178.56,178.56,178.56
black short dress,91400412_0,10,41,118,64.8,81.0,162.0
black short dress,91400869_0,37,97,176,517.86,709.66,709.66
black short dress,91401717_0,41,99,125,842.14,842.14,842.14
black short dress,91401736_0,93,179,263,421.26,1524.56,1865.58
black short dress,91402324_0,13,57,72,38.48,153.92,250.12
black short dress,91404100_0,56,70,98,581.36,1252.16,1252.16
black short dress,91416539_0,46,72,108,246.35,871.7,871.7
black short dress sleeve,90958087_0,18,74,81,102.18,221.39,306.54
black short dress sleeve,91102643_0,38,53,53,485.8,589.9,659.3
black short dress turtleneck,91437025_0,64,47,103,814.32,814.32,1336.32
black short festival trousers,88893446_1,11,72,127,142.32,142.32,195.69
black short printed dress,91407320_0,67,49,74,570.92,570.92,1366.13
black short sleeve sheath,91412885_0,24,70,121,184.3,387.03,442.32
black short tee sleeve,66179572_0,59,101,116,1005.95,1005.95,1005.95
black short v-neck jersey,90820824_0,68,99,108,800.1,800.1,1295.4
black short-sleeve beaded dress,40622815_0,107,82,139,849.42,849.42,1683.11
black short/knee dress length,91422136_0,25,101,158,267.2,267.2,417.5
black short/knee length dress,91422136_0,48,88,128,66.8,801.6,801.6
black shoulder cold tall,90651979_0,64,75,185,932.2,932.2,1011.2
black shoulder drape dress,90880911_1,15,22,53,180.9,180.9,271.35
black shoulder dress cold,89398096_0,49,58,92,206.4,619.2,1011.36
black shoulder dress cold,90775505_0,32,43,200,470.36,470.36,684.16
black shoulder dress cold,90995465_0,44,162,198,914.76,914.76,914.76
black shoulder dress cold,91370214_0,41,71,151,0.0,642.47,642.47
black shoulder dress long,91358758_0,24,82,88,288.66,288.66,407.52
black shoulder dress midi,89689930_0,47,50,60,845.01,845.01,968.67
black shoulder dress open,89943310_0,24,20,83,310.38,310.38,532.08
black shoulder dress open,91271726_0,17,38,123,122.56,122.56,260.44
black shoulder dress sleeve,90522814_0,44,61,64,390.08,1072.72,1072.72
black shoulder dress slinky,91200611_0,49,94,198,366.3,814.0,997.15
black shoulder dress striped,90179929_1,14,22,141,16.39,229.46,229.46
black shoulder ellen cold,89899415_0,10,136,147,163.9,163.9,163.9
black shoulder maxi dress,91092322_0,14,71,82,335.72,335.72,335.72
black shoulder off dress,91260948_0,10,21,99,203.7,203.7,203.7
black shoulder off mini,91426271_0,21,43,128,364.99,403.41,403.41
black shoulder shirt cold,91379942_0,7,33,142,102.9,120.05,120.05
black shoulder skater dress,89660790_1,19,84,110,197.12,340.48,340.48
black shoulder swing cold,90651979_0,47,66,147,284.4,284.4,742.6
black shoulder tank dress,73633821_1,13,56,58,19.37,251.81,251.81
black shoulder teagan dress,91337618_0,74,101,112,1218.47,1218.47,1701.26
black side dress drape,91346379_0,29,43,122,633.36,633.36,633.36
black side dress slit,91418657_0,12,58,171,298.8,298.8,298.8
black side skirt maxi,89661673_2,43,51,130,165.15,789.05,789.05
black side slit lightweight,90348504_2,16,110,158,360.96,360.96,360.96
black side trousers velvet,88281639_0,31,51,55,60.42,624.34,624.34
black side vest ponte,90348504_2,20,87,179,180.48,293.28,451.2
black side-slit slip dress,91417593_0,34,92,101,512.72,512.72,601.12
black side-slit tunic knit,91337115_0,6,22,144,64.36,64.36,96.54
black signature breanna essentials,91228458_0,48,46,55,492.3,492.3,787.68
black signature silk slim,91241563_0,78,143,158,975.36,975.36,1584.96
black signature slim silk,91241563_0,19,68,96,81.28,345.44,386.08
black silk block dress,91309542_0,14,51,158,210.21,210.21,267.54
black silk cargo pant,88819130_0,6,44,79,108.48,108.48,162.72
black silk cargo pant,88923978_0,120,181,192,2860.32,2860.32,3398.4
black silk dress,88618615_0,34,60,84,649.74,649.74,649.74
black silk dress,89070510_0,130,160,191,1284.4,3211.0,3211.0
black silk dress,91209425_0,1,35,60,0.0,0.0,19.97
black silk dress,91263356_0,64,82,150,1297.66,1297.66,1339.52
black silk dress,91376879_0,23,68,92,207.63,530.61,530.61
black silk dress,91397531_0,39,49,182,425.0,637.5,828.75
black silk dress freya,91220958_0,36,75,94,153.28,268.24,689.76
black silk dress jolie,90918752_0,24,69,103,446.4,446.4,446.4
black silk dress lapel,90953450_0,41,78,97,741.48,821.64,821.64
black silk dress maxi,91168064_0,56,62,156,836.92,956.48,956.48
black silk dress paloma,90356292_0,16,44,147,98.0,392.0,392.0
black silk dress slip,88097951_0,71,129,144,1343.44,1343.44,1703.29
black silk embroidered sophie,88673017_0,9,32,57,79.16,79.16,178.11
black silk paisley-print maxi,91219335_0,112,126,190,1226.71,1548.47,2252.32
black silk pants stretch,67904009_0,91,114,196,1309.0,2165.8,2165.8
black silk pleat pants,87695567_0,51,116,177,573.51,1010.47,1392.81
black silk print freya,91220958_0,67,97,167,268.24,498.16,1283.72
black silk printed dress,81084965_0,9,23,199,0.0,187.83,187.83
black silk printed dress,91355937_0,24,44,195,590.64,590.64,590.64
black silk shift dress,91278536_0,42,126,176,1031.52,1031.52,1031.52
black silk shirtdress,91318283_0,98,208,436,1208.97,1842.24,1880.62
black silk slip dress,75473470_0,32,66,184,422.5,422.5,520.0
black silk tank slip,91435499_0,16,47,73,229.08,305.44,305.44
black silk tegan dress,91436566_0,14,45,84,218.24,218.24,277.76
black silk-blend dress embellished,83316967_0,24,77,191,441.72,588.96,588.96
black silk-blend polka-dot dress,90573058_0,68,158,196,1343.76,1343.76,1384.48
black silk-georgette floral-print dress,91304144_0,31,90,108,281.84,542.0,672.08
black silk-satin dress,90648572_0,9,61,62,32.82,131.28,147.69
black silk-trim a-line dress,91424807_0,94,78,153,1024.86,1024.86,1660.98
black silk-trim dress a-line,91424807_0,133,148,197,1890.69,1890.69,2350.11
black silver dress long,91176921_1,26,49,76,446.75,464.62,464.62
black silver long dress,91172947_0,8,67,135,32.02,128.08,128.08
black size curvy colorblocked,89205279_0,22,92,161,331.1,331.1,331.1
black size dress crepe,91286199_0,51,126,172,844.2,1230.12,1230.12
black size dress plus,90796637_0,34,50,75,705.16,705.16,705.16
black size fit plus,88938844_0,85,100,179,1042.49,1452.65,1452.65
black size macy's only,88731440_0,14,79,134,247.9,247.9,347.06
black size neck plus,91318657_0,69,105,191,1122.4,1122.4,1683.6
black size plus paisley-print,91409882_0,10,84,126,88.52,88.52,221.3
black size woven macy's,88731440_0,29,58,73,545.38,545.38,718.91
black skater chiffon shoulder,89658032_0,13,33,109,93.84,93.84,304.98
black skater dress,86971343_0,29,48,54,497.0,497.0,514.75
black skater dress embroidered,90988848_0,8,33,50,47.88,119.7,191.52
black skater eyelet embroidered,90988848_0,10,23,80,0.0,239.4,239.4
black skater print dress,91259995_0,9,58,117,183.78,183.78,183.78
black skinny cargo tyler,88827117_0,16,105,193,17.44,279.04,279.04
black skinny cropped trousers,90337583_0,10,41,96,149.44,186.8,186.8
black skinny-leg suede trousers,88861254_0,31,74,110,348.08,348.08,567.92
black skirt a-line lace,91000515_0,20,86,179,437.0,437.0,437.0
black skye strappy swing,91320849_0,31,135,187,406.8,406.8,700.6
black skye swing strappy,91320849_0,30,34,55,610.2,610.2,678.0
black sleeve 3/4 mini,74354798_0,25,22,69,379.08,379.08,526.5
black sleeve dress cap,91192143_0,38,84,200,331.98,331.98,573.42
black sleeve dress chiffon,90320308_0,74,117,196,1769.34,1769.34,1769.34
black sleeve dress lace,90586028_1,43,87,120,770.13,770.13,770.13
black sleeve dress long,91147955_0,8,48,53,143.43,163.92,163.92
black sleeve dress maxi,90694947_0,10,27,80,248.3,248.3,248.3
black sleeve dress mini,91414518_0,8,50,66,46.26,185.04,185.04
black sleeve dress short,90958087_0,18,41,58,204.36,204.36,306.54
black sleeve fringed long,91364821_0,44,61,176,504.85,504.85,965.8
black sleeve lace bell,90998086_0,8,79,125,151.68,151.68,151.68
black sleeve long dress,90586028_1,35,139,175,411.93,626.85,626.85
black sleeve long dress,91147955_0,97,102,192,901.56,901.56,1987.53
black sleeve long jersey,91319367_1,12,44,53,187.22,204.24,204.24
black sleeve long racer,91325807_0,26,39,79,198.09,198.09,572.26
black sleeve mini short,91414518_0,8,83,98,115.65,115.65,185.04
black sleeve nightgown flutter,87858066_0,25,51,192,30.34,379.25,379.25
black sleeve shift bell,90552242_0,12,29,82,124.3,298.32,298.32
black sleeve shirtdress,74120939_0,24,24,65,411.48,411.48,548.64
black sleeve short printed,91407320_0,32,35,123,101.95,652.48,652.48
black sleeve three-quarter dress,90831388_0,17,52,116,318.36,386.58,386.58
black sleeved cotton long,84117513_0,14,90,172,232.21,295.54,295.54
black sleeved dress sweater,84117420_0,19,31,128,257.73,257.73,445.17
black sleeved lace maternity,91414691_0,25,35,113,417.69,417.69,614.25
black sleeveless dress long,90833323_0,9,48,132,118.86,118.86,178.29
black sleeveless dress lurex,91260342_0,17,20,65,207.24,207.24,293.59
black sleeveless dress maxi,91004930_0,21,151,171,331.2,434.7,434.7
black sleeveless dress maxi,91176713_0,16,31,134,125.58,251.16,334.88
black sleeveless dress midi,91415515_0,43,67,188,637.23,637.23,830.33
black sleeveless dress paris,83674096_0,12,46,61,182.71,182.71,199.32
black sleeveless dress print,91008338_0,18,42,92,127.08,381.24,381.24
black sleeveless dress printed,91339469_0,23,79,123,195.04,316.94,560.74
black sleeveless dress ruffle-trim,90876953_0,66,114,190,911.68,1074.48,1074.48
black sleeveless dress sheath,91238994_0,66,143,186,896.5,1039.94,1183.38
black sleeveless dress starburst,90842637_0,72,85,109,738.72,738.72,1108.08
black sleeveless dress structured,91270035_0,53,157,189,1152.75,1152.75,1152.75
black sleeveless faux-suede sheath,90883214_0,72,121,140,407.32,1725.12,1725.12
black sleeveless hem dress,91307587_0,32,40,56,41.24,82.48,659.84
black sleeveless neck drape,91369021_0,16,46,140,259.22,259.22,319.04
black sleeveless neck scuba,91287094_0,10,22,188,0.0,196.5,196.5
black sleeveless paisley shirtdress,90313877_0,83,55,76,1182.72,1182.72,2045.12
black sleeveless petite button,89666457_0,61,183,189,307.5,615.0,1250.5
black sleeveless poplin cotton,91324865_0,85,100,103,1536.8,1536.8,1536.8
black sleeveless printed dress,48207976_0,74,59,130,879.98,879.98,1415.62
black sleeveless ruffled dress,88470217_0,3,23,155,0.0,38.58,57.87
black sleeveless sheath dress,89630293_0,19,32,156,299.74,406.79,406.79
black sleeveless sheath faux-suede,90883214_0,11,30,117,95.84,95.84,263.56
black sleeveless sheath wool,66994916_0,9,66,68,62.08,93.12,139.68
